src_ip,dst_ip,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.1,172.16.0.1,53296,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48724,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.3,172.16.0.1,36556,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47188,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48726,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53297,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47190,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48728,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53298,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.5,172.16.0.1,45986,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53299,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.6,172.16.0.2,16838,443,6,0,1,74,74,74,74,0,SYN Flood
10.0.0.2,172.16.0.1,48730,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47192,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47194,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53300,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48732,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.7,172.16.0.2,22506,443,6,0,1,74,74,74,74,0,SYN Flood
10.0.0.4,172.16.0.1,47196,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53301,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.8,172.16.0.2,10790,443,6,0,1,74,74,74,74,0,SYN Flood
10.0.0.8,172.16.0.2,10792,443,6,0,1,74,74,74,74,0,SYN Flood
10.0.0.2,172.16.0.1,48734,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47198,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53302,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48736,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53303,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17299,8080,17,1.907,12,15936,1328,1328,1328,0,UDP Flood
10.0.0.2,172.16.0.1,48738,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47200,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53304,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.3,172.16.0.1,36558,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.5,172.16.0.1,45987,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48740,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53305,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.10,172.16.0.1,56344,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47202,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47204,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48742,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53306,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17343,8080,17,0,1,433,433,433,433,0,UDP Flood
10.0.0.4,172.16.0.1,47206,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17299,8080,17,57.95,133,168200,1328,82,1264.661654,249.4365738,UDP Flood
10.0.0.1,172.16.0.1,53307,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48744,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53308,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17315,8080,17,44.877,5,410,82,82,82,0,UDP Flood
10.0.0.4,172.16.0.1,47208,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48746,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47210,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.5,172.16.0.1,45988,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53309,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.9,172.16.0.3,16920,8080,17,0,1,77,77,77,77,0,UDP Flood
10.0.0.2,172.16.0.1,48748,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53310,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.3,172.16.0.1,36560,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53311,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47212,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48750,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.11,172.16.0.2,3498,443,6,3.705,2,132,78,54,66,16.97056275,SYN Flood
10.0.0.4,172.16.0.1,47214,6001,6,0.396,3,202,74,54,67.33333333,11.54700538,RST-ACK Flood
10.0.0.1,172.16.0.1,53312,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53313,6001,6,0,2,132,66,66,66,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48752,6001,6,0,2,148,74,74,74,0,RST-ACK Flood
10.0.0.12,172.16.0.1,26126,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.13,172.16.0.1,45061,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48224,6001,6,0.214,3,162,54,54,54,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17323,8080,17,50.922,4,2360,590,590,590,0,UDP Flood
10.0.0.1,172.16.0.1,53314,6001,6,0.057,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.14,172.16.0.1,48226,6001,6,0.044,3,162,54,54,54,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17207,8080,17,49.01,6,613,144,77,102.1666667,22.14873962,UDP Flood
10.0.0.2,172.16.0.1,48754,6001,6,0.012,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.9,172.16.0.3,17319,8080,17,48.99,5,410,82,82,82,0,UDP Flood
10.0.0.4,172.16.0.1,47216,6001,6,0.15,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48228,6001,6,0.053,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47218,6001,6,0.257,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.15,172.16.0.2,37034,443,6,6.539,2,132,78,54,66,16.97056275,SYN Flood
10.0.0.16,172.16.0.1,36948,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.5,172.16.0.1,45989,6001,6,0.229,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.1,172.16.0.1,53315,6001,6,0.007,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.13,172.16.0.1,45063,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.17,172.16.0.1,52776,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48230,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48756,6001,6,0.004,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.7,172.16.0.2,22506,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.1,172.16.0.1,53316,6001,6,0.092,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.4,172.16.0.1,47220,6001,6,0.019,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48232,6001,6,0.019,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47222,6001,6,0.951,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.13,172.16.0.1,45065,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.9,172.16.0.3,17342,8080,17,52.395,4,778,256,133,194.5,71.01408311,UDP Flood
10.0.0.2,172.16.0.1,48758,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.1,172.16.0.1,53317,6001,6,0.433,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.18,172.16.0.2,24030,443,6,3.762,2,128,74,54,64,14.14213562,SYN Flood
10.0.0.18,172.16.0.2,24029,443,6,3.359,2,128,74,54,64,14.14213562,SYN Flood
10.0.0.12,172.16.0.1,26127,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.16,172.16.0.1,36950,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47224,6001,6,0.369,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48234,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
