Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.6,192.168.8.112,29248,8237,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
172.217.6.230,192.168.1.144,443,58498,6,0.000106,1,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.9,192.168.3.210,22454,23527,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.15,192.168.0.203,28758,21684,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.9,192.168.8.8,44320,45539,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.4,192.168.2.206,14253,46222,6,4.9e-05,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.15,192.168.2.72,14993,63236,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.7,192.168.8.216,46738,13298,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.14,192.168.8.220,5810,7492,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.16,192.168.0.82,53206,8304,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.7,192.168.7.40,11889,35689,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
172.217.6.230,192.168.8.32,443,58497,6,4.3e-05,1,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.50.8,192.168.4.174,58507,80,6,115.345868,31,894.0,436.0,0.0,28.83870967741936,108.69409575323265,BENIGN
10.0.0.12,192.168.6.59,13812,46180,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.4,192.168.0.41,63245,48126,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.15,192.168.0.124,58422,44450,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.1,192.168.1.230,8805,29999,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.17,192.168.0.90,62516,30407,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.2,192.168.3.37,65015,26934,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.17,192.168.8.146,53141,11643,6,8.1e-05,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.11,192.168.9.185,6981,58190,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.9,192.168.4.164,39904,34194,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.11,192.168.0.243,9661,9661,6,81.845095,10,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.4,192.168.1.64,6780,6780,6,100.119522,14,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.2.5,6602,21529,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.10,192.168.9.208,14890,54191,6,0.000106,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.11,192.168.5.54,62976,51136,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.8,192.168.9.193,61586,61586,6,100.067613,14,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.6.136,39533,29462,6,9.8e-05,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.10,192.168.0.200,47608,11381,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.8,192.168.1.105,54469,53,17,0.020609,2,84.0,42.0,42.0,42.0,0.0,BENIGN
192.168.50.8,192.168.9.170,63098,53,17,0.020677,2,66.0,33.0,33.0,33.0,0.0,BENIGN
10.0.0.10,192.168.2.231,29582,62707,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.8,192.168.9.100,58474,53,17,0.020635,2,66.0,33.0,33.0,33.0,0.0,BENIGN
10.0.0.7,192.168.8.10,56547,64337,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.8,192.168.5.235,49679,53,17,0.020687,2,116.0,58.0,58.0,58.0,0.0,BENIGN
192.168.50.8,192.168.4.146,63050,53,17,0.020649,2,66.0,33.0,33.0,33.0,0.0,BENIGN
