Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.13,192.168.0.100,65108,60125,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.4.136,56739,37513,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.8.36,57790,61697,6,4.8e-05,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.1,192.168.3.6,35057,1706,6,0.844499,4,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.19,192.168.4.233,8095,21298,6,4.9e-05,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.1.129,65380,4964,6,60.832021,10,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.3.206,57271,80,6,2e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.20,192.168.7.56,49305,8858,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.1.82,57270,80,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.16,192.168.1.125,40315,9173,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.7.167,57272,80,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.17,192.168.9.19,64067,55157,6,5.1e-05,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.4,192.168.7.90,63606,10233,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.5.36,34019,26980,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.15,192.168.5.180,38991,38898,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
104.88.60.48,192.168.7.204,80,57271,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
104.88.29.90,192.168.0.76,80,57272,6,2e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.2,192.168.7.240,44418,44629,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.4.48,57271,80,6,0.0,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.18,192.168.1.120,986,315,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.6,192.168.6.175,50902,41366,6,0.000108,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.12,192.168.3.239,22689,7395,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.1,192.168.1.14,35331,16510,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.20,192.168.7.64,63394,32310,6,3.313408,4,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.14,192.168.8.134,61751,15418,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.1.173,57272,80,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.12,192.168.5.62,30683,14557,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.16,192.168.0.37,13928,29792,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.10,192.168.9.178,49328,49328,6,105.7933,14,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.9,192.168.9.9,48533,53465,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.9,192.168.1.54,15346,28749,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
104.88.29.90,192.168.4.104,80,57270,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.50.6,192.168.1.248,57270,80,6,0.0,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.12,192.168.6.199,12502,29940,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.17,192.168.9.64,33546,40072,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.254,192.168.0.218,0,0,0,114.965547,39,0.0,0.0,0.0,0.0,0.0,BENIGN
8.6.0.1,192.168.3.190,0,0,0,118.977483,10,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.4,192.168.6.123,57052,31183,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.17,192.168.9.151,13161,25995,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.3,192.168.7.9,47984,23026,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.3,192.168.8.206,25637,31837,6,0.000103,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.4,192.168.2.97,48589,61209,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.4,192.168.4.71,5366,2615,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.14,192.168.8.166,26328,57827,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.3,192.168.7.153,56689,48372,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.10,192.168.9.172,64949,60551,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.3.170,57275,80,6,0.481012,13,1472.0,386.0,0.0,113.23076923076924,177.08668020969932,BENIGN
10.0.0.18,192.168.7.115,13971,20678,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.12,192.168.8.63,52092,30743,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.4.142,57276,80,6,0.291534,7,738.0,369.0,0.0,105.42857142857144,180.05356345900435,BENIGN
192.168.50.6,192.168.7.185,53838,53,17,0.020582,2,74.0,37.0,37.0,37.0,0.0,BENIGN
10.0.0.20,192.168.4.6,23397,21711,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,Syn
192.168.50.6,192.168.1.52,57278,443,6,61.902762,226,48266.0,2504.0,0.0,213.56637168141583,450.3047634876471,BENIGN
10.0.0.20,192.168.2.134,43132,43132,6,101.701617,14,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.12,192.168.9.34,23523,41407,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
10.0.0.5,192.168.1.110,30953,10139,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Syn
