Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
172.217.12.206,192.168.3.146,80,58510,6,0.000159,1,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.50.7,192.168.0.59,51020,22,6,9.027947,6,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.50.8,192.168.3.5,58514,443,6,1e-06,2,31.0,31.0,0.0,15.5,21.92031021678297,BENIGN
10.0.0.4,192.168.1.117,52370,15262,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.5,192.168.2.179,55326,18717,17,1e-06,2,760.0,380.0,380.0,380.0,0.0,DrDoS_UDP
10.0.0.4,192.168.6.39,39302,23660,17,0.001092,6,2708.0,491.0,427.0,451.33333333333326,30.988169785688648,DrDoS_UDP
10.0.0.8,192.168.2.117,40664,19424,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.11,192.168.6.120,40275,51289,17,2e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
54.223.63.225,192.168.2.69,443,58514,6,3e-06,3,62.0,31.0,0.0,20.666666666666664,17.8978583448784,BENIGN
10.0.0.3,192.168.8.24,41403,48919,17,2e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.6,192.168.3.205,38216,9737,17,0.107599,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.5,192.168.5.229,47529,2553,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.17,192.168.7.53,34764,245,17,1e-06,2,772.0,386.0,386.0,386.0,0.0,DrDoS_UDP
54.223.63.225,192.168.3.194,443,58514,6,0.000152,1,0.0,0.0,0.0,0.0,0.0,BENIGN
8.43.72.47,192.168.3.222,443,58511,6,0.000326,1,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.7,192.168.1.10,44153,18401,17,0.988871,20,7242.0,401.0,321.0,362.1,30.127623275169363,DrDoS_UDP
10.0.0.17,192.168.3.208,33553,19384,17,5e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.6,192.168.6.79,38684,45741,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
192.168.50.8,192.168.1.25,58511,443,6,1e-06,2,53.0,53.0,0.0,26.5,37.476659402887016,BENIGN
8.43.72.47,192.168.8.50,443,58511,6,3e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.15,192.168.8.205,44632,27243,17,5e-05,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.10,192.168.9.62,47032,43601,17,0.987169,20,7242.0,401.0,321.0,362.1,30.127623275169363,DrDoS_UDP
192.168.50.8,192.168.2.97,62214,53,17,0.020662,2,86.0,43.0,43.0,43.0,0.0,BENIGN
10.0.0.15,192.168.1.26,44481,5863,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
192.168.50.7,192.168.3.153,50655,443,6,112.340211,13,338.0,46.0,0.0,26.0,22.041627284148817,BENIGN
192.168.50.8,192.168.6.228,52794,53,17,0.020681,2,82.0,41.0,41.0,41.0,0.0,BENIGN
10.0.0.5,192.168.0.244,59815,52738,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.19,192.168.0.17,58109,12575,17,0.108103,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.7,192.168.0.167,36484,27248,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.17,192.168.9.163,56977,34913,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.11,192.168.7.160,57576,4780,17,2e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
192.168.50.1,192.168.2.53,46873,53,17,0.020662,2,90.0,45.0,45.0,45.0,0.0,BENIGN
192.168.50.1,192.168.6.129,46873,53,17,0.045429,2,90.0,45.0,45.0,45.0,0.0,BENIGN
10.0.0.1,192.168.7.182,33445,18207,17,0.213551,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
192.168.50.1,192.168.0.209,55126,443,6,60.647075,25,2980.0,847.0,0.0,119.2,261.87878875540883,BENIGN
10.0.0.8,192.168.8.216,39097,53324,17,0.105088,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.7,192.168.8.208,38266,60312,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.8,192.168.7.50,58567,24470,17,0.10245,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.1,192.168.1.221,34522,25916,17,0.10696,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.15,192.168.8.168,40005,64818,17,0.217802,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.17,192.168.3.17,33575,29346,17,0.214707,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.10,192.168.3.69,52360,6471,17,4.8e-05,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
192.168.50.8,192.168.5.109,54072,53,17,0.020742,2,64.0,32.0,32.0,32.0,0.0,BENIGN
