Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.16,192.168.4.2,44285,2434,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.11,192.168.2.171,35634,31762,17,1e-06,2,832.0,416.0,416.0,416.0,0.0,DrDoS_UDP
10.0.0.4,192.168.4.37,59120,38476,17,0.230887,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.15,192.168.8.156,57471,41162,17,0.106952,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
192.168.50.6,192.168.3.213,57271,80,6,2e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.13,192.168.0.27,58482,5763,17,3.9e-05,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.1,192.168.2.62,48654,8058,17,0.212166,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.19,192.168.9.58,39784,8639,17,0.0,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.16,192.168.7.35,48718,17310,17,0.10564,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
192.168.50.6,192.168.5.142,57270,80,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.1,192.168.2.96,41048,1899,17,0.106491,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
10.0.0.19,192.168.2.190,40808,41922,17,0.105509,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
192.168.50.6,192.168.5.178,57272,80,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
104.88.60.48,192.168.6.253,80,57271,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
104.88.29.90,192.168.5.92,80,57272,6,2e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.9,192.168.2.92,53182,12849,17,0.107663,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
192.168.50.6,192.168.5.83,57271,80,6,0.0,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.7,192.168.8.28,39480,12410,17,0.109189,4,1498.0,404.0,345.0,374.5,34.06366588218791,DrDoS_UDP
10.0.0.8,192.168.9.95,33229,6861,17,0.217015,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.9,192.168.3.46,48237,18379,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.13,192.168.2.165,41060,13038,17,0.109104,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.1,192.168.4.93,50509,50137,17,0.108749,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
192.168.50.6,192.168.8.202,57272,80,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.3,192.168.6.84,41897,49681,17,0.104116,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.7,192.168.5.3,55928,39599,17,0.108917,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.3,192.168.9.108,53073,53439,17,4.9e-05,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
104.88.29.90,192.168.5.183,80,57270,6,1e-06,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.12,192.168.2.43,41136,61173,17,0.105866,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
192.168.50.6,192.168.0.45,57270,80,6,0.0,2,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.50.254,192.168.1.40,0,0,0,114.965547,39,0.0,0.0,0.0,0.0,0.0,BENIGN
8.6.0.1,192.168.8.227,0,0,0,118.977483,10,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.16,192.168.1.27,33993,56341,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.11,192.168.4.246,48173,12933,17,0.107858,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
10.0.0.13,192.168.5.239,35658,24866,17,0.10825,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
10.0.0.15,192.168.2.193,34202,5372,17,0.218461,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.20,192.168.9.160,39997,20284,17,0.216922,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
192.168.50.6,192.168.1.83,57275,80,6,0.481012,13,1472.0,386.0,0.0,113.23076923076924,177.08668020969932,BENIGN
192.168.50.6,192.168.5.190,57276,80,6,0.291534,7,738.0,369.0,0.0,105.42857142857144,180.05356345900435,BENIGN
192.168.50.6,192.168.9.128,53838,53,17,0.020582,2,74.0,37.0,37.0,37.0,0.0,BENIGN
192.168.50.6,192.168.4.21,57278,443,6,61.902762,226,48266.0,2504.0,0.0,213.56637168141583,450.3047634876471,BENIGN
10.0.0.18,192.168.4.29,58780,9839,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
192.168.50.6,192.168.5.21,56112,53,17,0.020735,2,88.0,44.0,44.0,44.0,0.0,BENIGN
192.168.50.6,192.168.4.173,57279,443,6,117.68785,32,2766.0,517.0,0.0,86.4375,154.90182895273776,BENIGN
10.0.0.20,192.168.0.7,37022,40613,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.11,192.168.0.13,55390,27640,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.19,192.168.4.10,57105,18951,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.13,192.168.2.162,37759,41910,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.11,192.168.0.177,39405,44890,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.4,192.168.9.230,34079,54266,17,0.107475,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.2,192.168.2.38,47373,4580,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
192.168.50.6,192.168.6.153,57280,443,6,117.687706,30,2800.0,517.0,0.0,93.3333333333333,160.89433957025062,BENIGN
10.0.0.13,192.168.6.15,38015,49303,17,0.10678,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.14,192.168.1.41,60702,31583,17,0.763616,16,5698.0,401.0,321.0,356.12499999999994,30.93406967514405,DrDoS_UDP
10.0.0.19,192.168.8.18,58478,2829,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.6,192.168.1.220,50653,49646,17,2e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.15,192.168.3.251,60121,62959,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
192.168.50.6,192.168.0.37,52146,53,17,0.020691,2,94.0,47.0,47.0,47.0,0.0,BENIGN
10.0.0.12,192.168.7.233,57352,14413,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.13,192.168.8.107,50223,19481,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
192.168.50.6,192.168.5.177,57276,80,6,0.097409,3,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.50.6,192.168.5.126,50586,53,17,0.020547,2,88.0,44.0,44.0,44.0,0.0,BENIGN
10.0.0.13,192.168.3.240,47538,15718,17,0.104663,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
10.0.0.16,192.168.5.20,46037,59645,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.2,192.168.7.132,46482,12113,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.8,192.168.8.163,38827,7076,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.14,192.168.1.182,44432,50561,17,0.107958,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.5,192.168.0.77,33451,5483,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
192.168.50.6,192.168.9.70,50586,53,17,0.046226,2,88.0,44.0,44.0,44.0,0.0,BENIGN
10.0.0.15,192.168.0.5,37490,59753,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.14,192.168.9.165,51085,60688,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.7,192.168.8.216,45897,10597,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.20,192.168.5.58,52325,41468,17,0.986508,20,7242.0,401.0,321.0,362.1,30.127623275169363,DrDoS_UDP
10.0.0.6,192.168.0.176,48045,50953,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.1,192.168.0.151,36545,2759,17,0.214868,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.9,192.168.7.202,37587,48100,17,0.109197,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.16,192.168.1.217,44260,4775,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.18,192.168.0.202,57950,20115,17,0.215365,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
192.168.50.6,192.168.1.246,57283,80,6,7.233456,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.13,192.168.5.248,35358,64649,17,0.211986,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
192.168.50.6,192.168.9.128,57284,80,6,7.236568,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.2,192.168.4.230,36743,32226,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.9,192.168.1.253,50506,8527,17,0.109554,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.8,192.168.0.194,36879,48390,17,0.2121,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
192.168.50.6,192.168.0.145,57285,80,6,7.23374,2,0.0,0.0,0.0,0.0,0.0,BENIGN
10.0.0.10,192.168.0.102,40774,65340,17,4.9e-05,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
192.168.50.6,192.168.8.63,57286,80,6,15.144699,10,608.0,303.0,0.0,60.8,127.65126103742357,BENIGN
192.168.50.6,192.168.6.149,54298,53,17,0.020621,2,76.0,38.0,38.0,38.0,0.0,BENIGN
10.0.0.15,192.168.5.238,51776,6583,17,0.218952,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
192.168.50.6,192.168.4.218,58318,53,17,0.020625,2,86.0,43.0,43.0,43.0,0.0,BENIGN
192.168.50.6,192.168.1.50,57013,53,17,0.020544,2,90.0,45.0,45.0,45.0,0.0,BENIGN
10.0.0.2,192.168.4.127,38938,10990,17,0.106377,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
192.168.50.6,192.168.3.8,54298,53,17,0.04667,2,76.0,38.0,38.0,38.0,0.0,BENIGN
10.0.0.7,192.168.3.40,42760,53068,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.12,192.168.4.218,47077,31251,17,0.111455,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
192.168.50.6,192.168.4.171,58698,53,17,0.049746,2,74.0,37.0,37.0,37.0,0.0,BENIGN
10.0.0.16,192.168.9.31,40388,30753,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.6,192.168.9.6,40079,12447,17,6.7e-05,2,660.0,330.0,330.0,330.0,0.0,DrDoS_UDP
10.0.0.18,192.168.9.166,54023,50043,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
192.168.50.6,192.168.3.39,57013,53,17,0.047179,2,90.0,45.0,45.0,45.0,0.0,BENIGN
10.0.0.11,192.168.0.207,55088,52191,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.3,192.168.6.16,53327,35935,17,0.108046,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
192.168.50.6,192.168.7.94,57287,443,6,117.148686,26,1834.0,517.0,0.0,70.53846153846152,140.92813225732633,BENIGN
192.168.50.6,192.168.5.44,49865,53,17,0.020581,2,86.0,43.0,43.0,43.0,0.0,BENIGN
192.168.50.6,192.168.8.183,54115,53,17,0.020557,2,100.0,50.0,50.0,50.0,0.0,BENIGN
192.168.50.6,192.168.1.112,62359,53,17,0.020624,2,64.0,32.0,32.0,32.0,0.0,BENIGN
10.0.0.1,192.168.7.43,56996,63770,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.4,192.168.2.94,38029,47558,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.13,192.168.6.138,40616,14143,17,0.0,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.19,192.168.0.2,51830,26222,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.14,192.168.4.139,57367,55261,17,1e-06,2,750.0,375.0,375.0,375.0,0.0,DrDoS_UDP
10.0.0.11,192.168.5.86,33224,20992,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
192.168.50.6,192.168.1.75,57288,443,6,116.580649,41,4418.0,1524.0,0.0,107.75609756097565,344.1423964355312,BENIGN
10.0.0.16,192.168.1.244,59541,2432,17,0.105157,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
192.168.50.6,192.168.6.247,57289,443,6,118.611311,66,15416.0,1201.0,0.0,233.57575757575768,394.444889807906,BENIGN
10.0.0.14,192.168.4.40,44847,14778,17,1e-06,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.11,192.168.0.167,33452,47206,17,0.217027,6,2088.0,393.0,321.0,348.0,35.08845964131227,DrDoS_UDP
10.0.0.19,192.168.1.55,51288,63332,17,1e-06,2,766.0,383.0,383.0,383.0,0.0,DrDoS_UDP
10.0.0.17,192.168.5.28,37357,63553,17,5.1e-05,2,802.0,401.0,401.0,401.0,0.0,DrDoS_UDP
10.0.0.12,192.168.6.243,41195,2598,17,0.107086,4,1438.0,389.0,330.0,359.5,34.06366588218791,DrDoS_UDP
10.0.0.12,192.168.1.136,44074,54402,17,0.106891,4,1398.0,369.0,330.0,349.5,22.516660498395403,DrDoS_UDP
